Job Title,Company,Location,Summary
Data Engineer,Central Intelligence Agency,"Washington, DC 20591",
Engineer II - Data Lakehouse,GEICO,"Chevy Chase, MD 20815",
Senior Engineer - Data & Platform Engineering,GEICO,"Chicago, IL 60290",
Data Engineering - Market Data Engineering - Software Engineer - Associate - Dallas,Goldman Sachs,"Dallas, TX 75201 
(Uptown area)",
Data Center Analytics Engineer,Google,"Austin, TX",
Senior Data Engineer,Hudson Valley Credit Union,"Poughkeepsie, NY 12603",
"Software Engineer II, Data",Credit Acceptance,Remote,
Data Engineer (Special Projects),Major League Baseball,"New York, NY 10017 
(Midtown area)",
Hadoop Data Engineer (Hybrid),cloudteam,"Jacksonville, FL 32256",
Data Engineer,Arena,"Salt Lake City, UT 84106",
Data Engineer,U-Haul,"Phoenix, AZ 85004 
(Encanto area)",
Data Engineering - Core Data Platform - Software Engineer - Associate - Dallas,Goldman Sachs,"Dallas, TX 75201 
(Uptown area)",
Senior Data Engineer,Hasbro Inc.,"Pawtucket, RI 02862",
Assistant Team Leader/Data Engineer,WSP,"Valhalla, NY 10595",
"Associate Software Engineer, Data Engineering",Philadelphia Phillies - Baseball Operations,"Philadelphia, PA",
